mean_score,max_score,steps
23.3,42.0,765015
25.8,42.0,766363
26.4,42.0,767418
25.7,42.0,768253
24.0,42.0,769238
25.6,42.0,770565
26.0,42.0,771562
27.5,42.0,772747
27.7,42.0,773764
29.4,42.0,775012
29.6,44.0,776440
28.3,44.0,777484
28.5,44.0,778616
29.1,44.0,779643
30.3,44.0,780724
29.6,44.0,781929
28.3,44.0,782702
27.1,44.0,783735
26.2,44.0,784460
25.4,44.0,785355
23.9,33.0,786620
23.7,33.0,787737
22.8,33.0,788939
23.1,33.0,790101
24.2,44.0,791621
26.1,47.0,793380
27.9,47.0,794565
29.7,47.0,796191
31.8,47.0,797402
31.5,47.0,798441
30.9,47.0,799591
29.6,47.0,800385
30.2,47.0,801564
29.2,47.0,802308
27.2,47.0,803326
24.4,39.0,804386
23.4,39.0,805384
21.3,34.0,806262
19.8,28.0,807384
20.7,29.0,808622
20.2,29.0,809647
21.1,29.0,810861
20.2,29.0,812017
21.5,29.0,812896
20.7,29.0,813651
22.7,39.0,815078
22.8,39.0,816050
23.6,39.0,817285
25.7,40.0,818260
25.9,40.0,819538
27.8,40.0,820858
28.9,40.0,822164
31.4,44.0,823534
32.6,44.0,824849
33.6,44.0,826028
31.8,44.0,827077
31.1,44.0,827969
30.5,44.0,828931
28.1,44.0,829833
28.0,44.0,830955
25.6,44.0,831728
24.2,44.0,832597
22.4,38.0,833860
21.4,30.0,835057
19.8,30.0,835701
20.1,30.0,836781
21.3,30.0,837940
22.6,33.0,839349
22.6,33.0,840245
21.3,33.0,841196
22.5,33.0,842201
23.0,33.0,843226
23.1,33.0,844437
22.3,33.0,845302
24.2,33.0,846551
23.6,33.0,847463
22.9,33.0,848268
21.1,29.0,849098
22.3,29.0,849950
22.9,29.0,851185
22.8,29.0,852324
22.2,29.0,853150
21.7,29.0,854268
22.2,29.0,855330
21.5,28.0,856380
22.5,28.0,857740
22.5,28.0,858654
22.6,28.0,859541
21.7,28.0,860508
23.8,44.0,862092
24.6,44.0,863290
25.5,44.0,864375
25.5,44.0,865421
24.4,44.0,866261
25.7,44.0,867699
25.8,44.0,868932
28.2,44.0,870381
29.1,44.0,871430
29.3,44.0,872448
27.5,44.0,873624
27.5,44.0,875043
29.0,44.0,876385
28.9,44.0,877333
29.8,44.0,878289
28.7,44.0,879273
28.5,44.0,880410
26.4,42.0,881511
25.5,42.0,882397
26.0,42.0,883498
25.9,42.0,884523
25.2,42.0,885476
25.6,46.0,886909
27.0,46.0,888113
28.2,46.0,889436
28.3,46.0,890736
29.4,46.0,891967
31.5,46.0,893426
